track_id,danceability,popularity,energy,acousticness,valence,instrumentalness,tempo,loudness
2DM11p648RhfSDY85d9ibj,0.131,,0.184,0.245,0.0674,0.00735,62.474,-11.84
2VQhc1Qo1pye020xrtOIVW,0.343,,0.495,0.469,0.544,0.00117,166.633,-9.317
699lerUa9A4Wfh9S3WJ4K5,0.33,,0.242,0.118,0.086,0.73,87.452,-16.537
4BRkPBUxOYffM2QXVlq7aC,0.469,,0.596,0.0101,0.783,0.0,133.586,-8.348
5GjPQ0eI7AgmOnADn1EO6Q,0.581,,0.28,0.936,0.813,1.56e-05,137.831,-9.091
2ylCrFiBu98SC0vFfaCent,0.494,,0.47,0.21,0.698,0.0,103.477,-9.599
4RdJFhfLQcezwN5LsXl4qP,0.391,,0.593,0.7,0.707,0.000249,123.986,-8.999
2B4Y9u4ERAFiMo13XPJyGP,0.29,,0.247,0.921,0.36,0.00565,165.361,-12.125
50xwQXPtfNZFKFeZ0XePWc,0.604,,0.549,0.531,0.696,0.0,111.398,-9.873
3VSuWxZM6x6V3ig5nYtikL,0.329,,0.678,0.103,0.672,0.168,106.476,-7.878
7HTH1ppjkkOe7RLoBDKXYJ,0.77,,0.496,0.719,0.571,0.0,117.331,-8.45
4KRgqwb4kvBuTz1utbYxfb,0.555,,0.65,0.0067,0.966,0.0491,132.59,-6.936
1kDkaFlmkdEZiVUogaP9OZ,0.483,,0.351,0.783,0.713,0.0,81.208,-10.487
1ob06Ol8FMIPQgjpg7bMyk,0.394,,0.64,0.164,0.574,0.139,164.626,-8.992
7orb0y6ySGdsYZywMoQtsD,0.493,,0.525,0.182,0.449,4.4e-06,127.492,-9.289
3tGhRLgcCP6SIZU3tbGl7l,0.521,,0.524,0.42,0.711,9.27e-06,136.679,-6.136
00oZhqZIQfL9P5CjOP6JsO,0.38,,0.829,8.4e-05,0.0534,0.00208,125.887,-6.105
3AhXZa8sUQht0UEdBJgpGc,0.482,,0.721,0.731,0.557,0.0,95.263,-6.839
5JqsRFZYDtIK5Rgeuzd2Jv,0.504,,0.808,0.408,0.653,0.0,123.866,-7.25
2yaf46YMxA5y6bzmWUKgXC,0.493,,0.579,0.772,0.475,8.06e-05,93.353,-7.743
6txGFpco4cfgG1sA1MxLCp,0.287,,0.72,0.756,0.709,3.41e-06,176.302,-6.231
0f5N14nB8xi0p3o4BlVvbx,0.473,,0.574,0.695,0.499,0.0,74.056,-8.189
0c2DAekH6ZEnHhf8dM1leK,0.369,,0.691,0.778,0.382,1.39e-05,104.371,-6.234
6os5B6xjuke9YfBKH3tu1e,0.49,,0.808,0.475,0.604,0.0,73.434,-6.725
0V1771LhL3tG36pb55EZAH,0.497,,0.511,0.702,0.591,0.0,99.5,-8.318
4n1ZGm3TxYmoYe1YR8cMus,0.432,,0.605,0.673,0.647,0.0,109.227,-6.941
06ypiqmILMdVeaiErMFA91,0.754,,0.571,0.0173,0.82,0.0,122.463,-8.547
1H7gMYGykdtwZOV6s1N0by,0.425,,0.369,0.183,0.65,0.00126,176.625,-11.876
4LLBKnNCrSRrSjSTuiwjE9,0.488,,0.539,0.136,0.473,0.0,115.941,-8.752
5SUlhldQJtOhUr2GzH5RI7,0.534,,0.624,0.00797,0.687,0.0,121.402,-9.589
64bKVrkaXQAKx04dLHqCNz,0.529,,0.567,0.0124,0.799,0.0,130.544,-9.796
4GBaPHvAyj4V2jeobD9tsy,0.59,,0.641,0.00682,0.792,0.0,120.773,-9.687
5By7Pzgl6TMuVJG168VWzS,0.578,,0.29,0.652,0.666,0.0,117.403,-12.501
19QXdPRZFHI5kNK3tN8Mh7,0.67,,0.776,0.0168,0.765,3.01e-06,96.93,-10.035
6tQvjqDIK9GXWIC6mejms8,0.699,,0.294,0.587,0.893,0.0,96.615,-13.205
5E3BVY66TEDexFutOO5GeS,0.667,,0.498,0.00772,0.774,0.0,85.843,-11.027
3KfbEIOC7YIv90FIfNSZpo,0.688,,0.435,0.449,0.435,0.0,103.239,-11.359
0CGbof9amBnsNlRhZ8IY2H,0.552,,0.487,0.0175,0.657,0.0,127.201,-10.574
7C6hdDIz90Uf5YmdZnYbJJ,0.492,,0.755,0.00748,0.796,0.0,127.387,-9.273
4gUYV3ktbaOeAK5KrXMWV5,0.563,,0.705,0.0103,0.822,0.0,176.732,-9.232
4cgLt753cDfsBAbpOcGnZi,0.552,,0.762,0.133,0.812,0.000731,101.655,-9.793
0lz97gXzH4DD822L62kLeK,0.48,,0.78,0.499,0.498,0.00271,98.32,-10.99
0oQV9CKXruLbVUTn76eBnr,0.542,,0.436,0.933,0.795,0.189,109.951,-12.844
3KAbXV1OSwthoke6BqR0y5,0.285,,0.652,0.479,0.686,0.101,108.395,-10.413
1J3WjiLbPAdW0mSBTxoHQF,0.51,,0.836,0.477,0.628,0.00155,100.042,-11.118
4WaiTpMvsv1zgiEkVHw1Sn,0.595,,0.632,0.675,0.655,0.869,93.893,-11.925
6FQZnK64Y3jGmMHkhV9gWo,0.588,,0.606,0.336,0.665,0.174,113.542,-10.167
5fFDpE3pw7rHLSl8N3tj75,0.277,,0.231,0.796,0.155,8.82e-06,76.188,-12.975
7BkWM4XInRQJJI9HXjvPVB,0.692,,0.676,0.762,0.881,0.597,94.128,-10.657
42o3gy9e8dzBHvQE991ad8,0.485,,0.943,0.0639,0.889,0.179,141.982,-4.423
0SojSZcka4j8l8Sl0W9jUZ,0.548,,0.952,0.118,0.906,0.837,98.04,-2.958
3u28KPrRmJiNC39Fm3tZVe,0.374,,0.787,0.69,0.763,0.831,180.496,-7.054
3NDEunNz7GMb6SkkPYTvd2,0.53,,0.691,0.374,0.581,0.111,117.046,-5.409
4hq0S6wznq7SHDyMOFXL9i,0.615,,0.91,0.5,0.77,0.511,111.013,-4.248
1hJrWWK74fKL7eeV3CFOvF,0.477,,0.74,0.502,0.56,1.31e-06,107.384,-5.397
5SiCTf5r1cVjQXAXB2StpS,0.454,,0.766,0.664,0.776,0.904,90.677,-3.862
60OdLDvZpHe4kVDYwNtYh9,0.498,,0.728,0.65,0.609,0.000172,174.33,-7.387
05BcisbhFsmVpTZ0kGD7gK,0.471,,0.843,0.636,0.632,0.0402,156.695,-5.702
0rucXTNGt4BHpAjNR5d0UF,0.555,,0.897,0.361,0.965,0.94,131.712,-3.469
7wSVa5dSpjM62zrF0WsMVQ,0.517,,0.781,0.65,0.742,0.977,119.364,-6.33
74mpiRPDd2rFeBR1Yl60I3,0.618,,0.678,0.6,0.79,0.723,133.453,-5.199
22OTrlQy1sXdtdo1VgDUZb,0.654,,0.542,0.689,0.877,0.584,78.015,-14.696
2u63axjx9VKmFfQNqmpi8a,0.352,,0.656,0.869,0.363,0.8,76.121,-5.721
5GHKbjIY0gTCqoY5aruDDc,0.519,,0.973,0.39,0.822,0.978,140.221,-3.044
09eg3FGzsZQbZk8qEXhJIA,0.522,,0.891,0.509,0.91,0.908,104.411,-4.085
1iii3DosaivkmvUDmhZhCP,0.365,,0.839,0.522,0.575,0.000469,81.772,-5.148
7faybsF8gIVvWtAp9hUcI2,0.337,,0.919,0.183,0.525,0.186,114.748,-3.94
5jzma6gCzYtKB1DbEwFZKH,0.651,,0.801,0.123,0.776,0.0,133.769,-7.34
7FYkZkF9fog6WS818wJnhl,0.52,,0.906,0.0196,0.868,7.99e-05,151.608,-6.534
06JxwPA4WAg0LWADJtaldL,0.528,,0.397,0.00562,0.579,3.64e-06,128.475,-12.024
