,sp_albumid,rs_horriblerankingorder,rs_albumname,rs_artist,rs_year,album_sp_albumid
0,46rjSfrOaPBPX8npn50l0A,50,Its Hard,The Who,1982-01-01,46rjSfrOaPBPX8npn50l0A
1,2fRxSC6FtiAkhEDVZr2seH,49,The Bridge,Billy Joel,1986-01-01,2fRxSC6FtiAkhEDVZr2seH
2,2wqTlagAdAEh89tMuToml0,48,Van Halen III,Van Halen,1998-01-01,2wqTlagAdAEh89tMuToml0
4,3L6JBfRxhzGzhhRDlTEdBz,46,Idlewild,Outkast,2006-01-01,3L6JBfRxhzGzhhRDlTEdBz
5,77pIdRuNu9xRYk6BB6l9nI,45,Countryman,Willie Nelson,2005-01-01,77pIdRuNu9xRYk6BB6l9nI
6,5CI03g8QNehnEWXAhRtw0s,44,Around the Sun,R.E.M.,2004-01-01,5CI03g8QNehnEWXAhRtw0s
7,4ljK2LVKvEPd5xPgUJn0Bs,43,St. Anger,Metallica,2003-01-01,4ljK2LVKvEPd5xPgUJn0Bs
8,3E01XjnmC1HdxTE8dPuEkn,42,Cut the Crap,The Clash,1985-01-01,3E01XjnmC1HdxTE8dPuEkn
9,2sJEOd3e3IFy5kmPPUdHge,41,Calling All Stations,Genesis,1997-01-01,2sJEOd3e3IFy5kmPPUdHge
11,4DOh46p7iy1jebsWBa9OOv,39,Changes,The Monkees,1970-01-01,4DOh46p7iy1jebsWBa9OOv
12,6mFvuRlPtmwXLhh2qdzTI7,38,Chaos and Disorder,Prince,1996-01-01,6mFvuRlPtmwXLhh2qdzTI7
13,2efkPPuJQ7JrTloWk4lhiV,37,Time,Fleetwood Mac,1995-01-01,2efkPPuJQ7JrTloWk4lhiV
14,1J7sLrUoYUrsjhunsgzZpL,36,Music From The Elder,Kiss,1981-01-01,1J7sLrUoYUrsjhunsgzZpL
15,0q3FViNIlVmYObIGAXbNhK,35,Psychoderelict,Pete Townshend,1993-01-01,0q3FViNIlVmYObIGAXbNhK
16,1WEfOTItaPIa0dVxxLJqlI,34,Nine Lives,Aerosmith,1997-01-01,1WEfOTItaPIa0dVxxLJqlI
18,0rbgxvTKe3Y4VRar4sIYzT,32,Liz Phair,Liz Phair,2003-01-01,0rbgxvTKe3Y4VRar4sIYzT
19,6J2BJd3FQDDlh2ZjL6QIpF,31,Raditude,Weezer,2009-01-01,6J2BJd3FQDDlh2ZjL6QIpF
20,2AtvtW3U8dv9C61S88M2w8,30,Give My Regards to Broad Street,Paul McCartney,1984-01-01,2AtvtW3U8dv9C61S88M2w8
23,1s8DfGDgydp7XFCkSiMYZb,27,Crown Royal,Run-DMC,2001-01-01,1s8DfGDgydp7XFCkSiMYZb
24,6makHXbA3KBYNlYEPXyFJW,26,American Life,Madonna,2003-01-01,6makHXbA3KBYNlYEPXyFJW
26,2v3xdUz73rd6Nness5SSIh,24,Rebirth,Lil Wayne,2010-01-01,2v3xdUz73rd6Nness5SSIh
27,5qHuYmZKJF6kYZjif7ECWz,23,The Doctor,Cheap Trick,1986-01-01,5qHuYmZKJF6kYZjif7ECWz
28,26Fac6kNgB6MLeoGVkmpKN,22,Full Circle,The Doors,1972-01-01,26Fac6kNgB6MLeoGVkmpKN
29,6lKblzPniPSFL5LetqvyhZ,21,Speeding Time,Carole King,1983-01-01,6lKblzPniPSFL5LetqvyhZ
31,3pgglWjc7ni5ROElAC95Nx,19,Gone Troppo,George Harrison,1982-01-01,3pgglWjc7ni5ROElAC95Nx
32,18X1MIMcwyDPIjrwn00p7e,18,Mistrial,Lou Reed,1986-01-01,18X1MIMcwyDPIjrwn00p7e
33,3BLIfiiKINZt4MJ1uDK2wa,17,Never Let Me Down,David Bowie,1987-01-01,3BLIfiiKINZt4MJ1uDK2wa
35,0clTTgbdxyaK9U07ZF28Rm,15,2300 Jackson St.,The Jacksons,1989-01-01,0clTTgbdxyaK9U07ZF28Rm
36,1Y1RORWFYC7HYte6lb1lxO,14,Right By You,Stephen Stills,1984-01-01,1Y1RORWFYC7HYte6lb1lxO
37,2B7lOrhmRawYzInu75QOgx,13,Leather Jackets,Elton John,1986-01-01,2B7lOrhmRawYzInu75QOgx
40,4HirIvj3y4Ok3o2MCZtdfB,10,Mardi Gras,Creedence Clearwater Revival,1972-01-01,4HirIvj3y4Ok3o2MCZtdfB
41,0o3kj09k9lKCisAfkfUSN2,9,American Dream,"Crosby, Stills, Nash, and Young",1988-01-01,0o3kj09k9lKCisAfkfUSN2
45,1jqNoER2ibSB8I0DMm54Ac,5,Down in the Groove,Bob Dylan,1988-01-01,1jqNoER2ibSB8I0DMm54Ac
47,447aJIB9W5eJbQCRc00oEy,3,Union,Yes,1991-01-01,447aJIB9W5eJbQCRc00oEy
48,1OtiNKc6jbz5Ycz1BoCBDb,2,Squeeze,The Velvet Underground,1973-01-01,1OtiNKc6jbz5Ycz1BoCBDb
49,2Ek1q2haOnxVqhvVKqMvJe,1,Ye,Kanye West,2018-01-01,2Ek1q2haOnxVqhvVKqMvJe
